alpha,rho,detection_mode,update_buffer,shadow_method,tau_s,tau_h,shadow_alpha,shadow_beta,kernel_opening_size,kernel_closing_size,morph_shape,morph_op,min_area,merge_dist,mAP
5.478062420881237,0.035725029901575715,gray,2,hsv,27,90,0.5811521776192434,0.8647637697367315,7,7,ellipse,close,397,10,0.6048663990173542
5.354290841458062,0.018391968396973088,gray,2,hsv,73,110,0.5896197430520431,0.823155447832175,3,15,ellipse,open_close,600,29,0.5824139111651636
5.4182183302611815,0.036199972927449725,gray,2,hsv,27,98,0.5803320251675333,0.8698260880273112,7,5,ellipse,close,406,17,0.6004374148538696
5.5295808744052914,0.03670146466043851,gray,2,hsv,41,99,0.6609270184072641,0.8624516979647947,7,5,ellipse,close,415,10,0.5948125597526913
5.640363925784553,0.06779951590359846,gray,3,hsv,42,91,0.6610370403525158,0.8587820044921155,7,7,ellipse,close,547,10,0.6233571660159669
4.999404401661258,0.0678283061829069,gray,3,hsv,27,92,0.6513889901887377,0.9525642696328265,5,7,ellipse,close,321,11,0.4885901577286426
5.7032615214401,0.1293732214052883,rgb,2,hsv,46,90,0.6865016861591252,0.8280186992505234,7,11,ellipse,close_open,323,11,0.24904793323150212
5.727298938385439,0.13406532903913093,rgb,2,hsv,49,90,0.799871760169961,0.8568614402976902,7,11,ellipse,close_open,475,14,0.27624842060823473
5.9857425185242485,0.07704531637166312,gray,3,hsv,56,94,0.8055021686688628,0.8555192862740493,7,11,ellipse,close,476,17,0.5566618581019731
4.298221549982831,0.07984164561466807,gray,3,hsv,39,96,0.5613015378817946,0.8958543808128798,7,9,ellipse,close,536,16,0.3385207010932477
1.6345965700257632,0.03796963167497059,gray,4,hsv,38,96,0.562928555781606,0.897792579131298,7,9,ellipse,close,560,44,0.011419141914191416
5.06482175554369,0.06107125536861327,gray,3,hsv,29,105,0.64194201378486,0.9990603760765526,5,7,ellipse,close,562,24,0.6041961855701466
5.030689191879536,0.05587122639591114,gray,3,hsv,28,105,0.6357054881027823,0.870517508316564,5,7,ellipse,close,556,24,0.6065709468206487
5.156352358180949,0.09772436908973671,gray,2,hsv,24,102,0.6012163444809374,0.8779837177129741,5,7,ellipse,close,593,25,0.6003039794289137
3.6794994240351686,0.09861041925445,gray,2,hsv,24,118,0.6052746930573987,0.8748649811609378,7,7,ellipse,close,387,26,0.16613282999812473
4.033969375828202,0.02397866198624959,gray,4,hsv,20,120,0.6982778287392961,0.8416967206578854,7,7,ellipse,close,381,32,0.3968847553704567
5.707809523826464,0.024811158849778112,gray,4,hsv,45,126,0.7016133765707606,0.8139939115975552,7,9,ellipse,close,509,13,0.6007542005646087
5.618268521191855,0.05154406368973275,rgb,3,hsv,90,127,0.5537137418852967,0.818003482060272,7,9,ellipse,close,548,13,0.5531023619518657
5.594535440436761,0.04897063344187396,rgb,3,hsv,54,110,0.7227277133635689,0.9274176936284485,5,13,rect,open,550,38,0.3623985379063254
4.426977808564668,0.033484469392882577,gray,1,hsv,37,92,0.5010068622745572,0.9143906911583182,5,5,rect,open,433,37,0.4109543924329128
4.419550991476111,0.031938999694473814,gray,1,hsv,30,98,0.8851221529364091,0.8323116309465522,7,5,ellipse,close,421,15,0.5734353381247879
4.944930747935348,0.06432516701511296,gray,3,hsv,30,109,0.6360599689231775,0.8859709755839924,5,5,ellipse,close,586,19,0.5977413682728924
4.8532195737790165,0.06428903672607579,gray,3,hsv,43,109,0.6329489827482676,0.8845211738197708,5,5,ellipse,close,576,23,0.5886795179255916
3.249801627473503,0.07280612336472327,gray,3,hsv,36,105,0.6749541861052126,0.8661587332880615,5,5,ellipse,close_open,572,32,0.18409518751613962
5.216393551022523,0.041999039031712815,gray,2,hsv,35,113,0.6781785911519373,0.8008674812299204,5,7,ellipse,close_open,520,27,0.5898729650362723
5.1486099685824005,0.039115686010057195,gray,2,hsv,25,113,0.6220999638632729,0.8501232238105669,5,7,ellipse,close,522,28,0.6295736260776746
5.904930847275447,0.08427514712501603,gray,3,hsv,24,100,0.6171567830523872,0.8475213592634023,5,15,ellipse,open_close,498,10,0.276204370964084
2.0615166253400226,0.029368085736643783,gray,2,hsv,24,113,0.620476551760158,0.8460104959454604,3,15,ellipse,open_close,455,31,0.0018646192036475846
2.2252585788737558,0.0548608645042964,gray,2,hsv,20,117,0.5863583999106835,0.8533072608581633,3,9,ellipse,close,209,43,0.013866345954122039
5.821463348487046,0.005147391091910895,gray,1,hsv,20,117,0.586462083456021,0.8592228841884586,7,9,ellipse,close,463,27,0.3196997500385946
5.852925826329189,0.03976129583422643,rgb,1,hsv,28,131,0.5332543542615353,0.8344078722728172,7,7,rect,open,459,28,0.35116409981100155
5.236987679053609,0.04158549300272437,gray,3,hsv,30,104,0.639330577901518,0.8725900584042159,5,7,ellipse,close,530,22,0.6199956293838347
5.171370545969311,0.05805574519899925,gray,3,hsv,31,107,0.6512807238964233,0.8751113219241795,5,5,ellipse,close,540,22,0.609856667362594
5.478717398360877,0.04308002932152778,gray,3,hsv,32,104,0.598158521932396,0.8715813264767325,5,11,ellipse,close,535,19,0.627145152116536
5.22278008664378,0.05597426560027871,gray,3,hsv,31,103,0.6579526621299964,0.8699531027464951,5,5,ellipse,close,536,50,0.5975529373677492
4.5869671208989296,0.04452130253916264,gray,3,hsv,31,108,0.6590378772350888,0.8718654414528287,5,13,ellipse,close,532,19,0.5040562919278084
4.644264461956818,0.016288796748929232,gray,3,hsv,41,108,0.6895615685168758,0.90248162615949,5,11,ellipse,close,527,20,0.5708485733365964
4.747963491426749,0.014394570134817574,gray,4,hsv,41,112,0.6278352890178424,0.8923592885106535,5,11,ellipse,close,490,21,0.5558108913134033
5.307608706859051,0.11489791722570525,gray,4,hsv,33,112,0.6313957823138785,0.9043877841429578,5,17,ellipse,close,550,23,0.25936851333683086
5.3181355462212965,0.02507388395809773,gray,3,hsv,33,104,0.5995744957372353,0.9069768194437096,3,9,ellipse,close,547,24,0.6158047331591707
5.118532805756055,0.0259423062202453,gray,3,hsv,38,103,0.715571921837599,0.8809731912337005,3,9,rect,close,521,25,0.5961891544165395
