alpha,map
0.5,0.002152389151958674
1.0,0.047092853840005264
1.5,0.12191747826420524
2.0,0.1507529630068742
2.5,0.21085703376772372
3.0,0.21587799726075396
3.5,0.20972001184104588
4.0,0.18856786218173166
4.5,0.1666456087129021
5.0,0.15274344312207533
5.5,0.13953669410033923
6.0,0.12879845850206847
